tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
780578315186868224,3990577513,Tea Party News,tpartynews,,,,21498,22407,2015-10-23,en,en,"""You've been doing this for 30 years. Why are you just thinking about this now?""  ~ Donald Trump  #debatenight #Debates2016 #debates",2016-09-27 01:22,TweetDeck,,,,False,,,absent,absent,0.0,0.0,25.0,15.0,"[debatenight, Debates2016, debates]",[],,
846643908956356610,c7b1bacb73f0f3025dc09452d99b1abb22a5ce7aa0a649330f3820de07f2ecde,c7b1bacb73f0f3025dc09452d99b1abb22a5ce7aa0a649330f3820de07f2ecde,c7b1bacb73f0f3025dc09452d99b1abb22a5ce7aa0a649330f3820de07f2ecde,"Baltimore, MD","i work out hard as fuck, bench press and lift as much as I can, so if me and the cops ever get into it… God bless the one that I grab #FTP #ACAB #BlackPower",,1071,857,2013-08-26,en,en,"RT @DanteB4u: Rep. Nunes (R-CA) needs to recuse, his credibility to lead #TrumpRussia investigation is highly questionable. #RICO https://t…",2017-03-28 08:43,Twitter Web Client,,,,True,63144098,846642401041092608,absent,absent,0.0,0.0,0.0,0.0,"[TrumpRussia, RICO]",[],[63144098],
853040182504837120,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,a95a911dd6ae864c48ed062cdbe75e5c28dbe0cf57c6db3fa9dd53b654ee9845,United States,No more #HappyHolidays shit!!! It's #MerryChristmas!!!!! #BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump,https://t.co/XFnhCqCWBy,2748,265,2016-06-15,en,en,RT @bocavista2016: This is who Dems are provoking NUCLEAR WAR w/ Russia over?  REALLY??  👉Friggin SAD  https://t.co/FKoDeUH3uO #Trump #MAGA…,2017-04-15 00:20,Twitter for Android,,,,True,4175166177,853025212912291840,absent,absent,0.0,0.0,0.0,0.0,"[Trump, MAGA]",[http://washingtonfeed.com/hillary-staffers-reveal-how-truly-evil-the-clintons-are-in-new-book.html#.WPEbaHqnd4s.twitter],[4175166177],
821068758533935105,77755623608ac46aacd68d114868ffebad0b2cbd4d29f0fe99143d93d51864ad,77755623608ac46aacd68d114868ffebad0b2cbd4d29f0fe99143d93d51864ad,77755623608ac46aacd68d114868ffebad0b2cbd4d29f0fe99143d93d51864ad,USA,I got a .45 in my Louis bag yeah #ALLBLACKLIVESMATTER,,1114,896,2013-08-08,en,en,RT @Khanoisseur: How did Trump get $1 billion+ in loans from foreign banks with this rating? @LouiseMensch @aravosis https://t.co/WPT6ABNQ49,2017-01-16 18:57,Twitter Web Client,,,789838198448848896,True,373564351,821057879390044160,absent,absent,0.0,0.0,0.0,0.0,[],[https://twitter.com/khanoisseur/status/789838198448848901],"[19346439, 373564351, 14146966]",
857523220701999104,2570631118,Politweecs,Politweecs,United States,Tweets and politics,,36094,20288,2014-05-29,en,en,"So far, Trump is really struggling as a chief executive https://t.co/mczemhQ650",2017-04-27 09:14,Twitter Web Client,,,,False,,,absent,absent,2.0,2.0,1.0,2.0,[],[https://goo.gl/1k4Hd0],,
899995708148920320,2570631118,Politweecs,Politweecs,United States,Tweets and politics,,36094,20288,2014-05-29,en,en,"Trump to inspect Predator drone, meet with Marines at Yuma, Ariz., border station ahead of rally https://t.co/eSo6YxKQvV",2017-08-22 14:04,Twitter Web Client,,,,False,,,absent,absent,0.0,0.0,3.0,1.0,[],[https://goo.gl/H7ggty],,
827680963014561794,5ad1a4ad9a7d67c045ab752c7a946a9d847d5d7e03684174835269a193c2820e,5ad1a4ad9a7d67c045ab752c7a946a9d847d5d7e03684174835269a193c2820e,5ad1a4ad9a7d67c045ab752c7a946a9d847d5d7e03684174835269a193c2820e,New York,Stop trying to fix the POLICE; fix the GHETTO!   #WakeUpAmerica #TCOT #PJNET #BlueLivesMatter,,1884,1776,2014-05-30,en,en,"RT @Amyloukingery: For security because of democrats! Eric Trump’s business trip to Uruguay cost taxpayers $97,830 in hotel bills https://t…",2017-02-04 00:51,Twitter Web Client,,,,True,49190063,827678078725922816,absent,absent,0.0,0.0,0.0,0.0,[],[],[49190063],
824317941231583240,2587843805,KansasCityDailyNews,KansasDailyNews,"Kansas City, MO","Local news, sports, business, politics, entertainment, travel and opinion for Kansas. DM us 24/7",,29357,6720,2014-06-06,en,en,"Protesters climb DC crane, call for resistance to Trump https://t.co/tG2YocOJ2B https://t.co/gTYHgO3Crv",2017-01-25 18:08,Twibble.io,,,,False,,,absent,absent,1.0,0.0,0.0,0.0,[],[http://ksn.com/2017/01/25/protesters-climb-dc-crane-call-for-resistance-to-trump/],,
818479302534688768,3e4926039b55bcd7f2182ee1c9234fd9458adefac0b7f919ede18d8d9597b1c0,3e4926039b55bcd7f2182ee1c9234fd9458adefac0b7f919ede18d8d9597b1c0,3e4926039b55bcd7f2182ee1c9234fd9458adefac0b7f919ede18d8d9597b1c0,USA,The best time to plant a tree was 20 years ago. The second best time is now.,,871,548,2013-08-14,en,en,"RT @Fusion: Yes, Democrats could use Republican tactics to block Trump's Supreme Court pick: https://t.co/oJVYR1BeLo https://t.co/dHRRNT2oxO",2017-01-09 15:27,Twitter Web Client,,,,True,121817564,818478701767577600,absent,absent,0.0,0.0,0.0,0.0,[],[http://fus.in/2iLp0fr],[121817564],
811626178696056832,3c46bd68165bb49be66c657de7f09b1cbd130e65934abd29f5aec28e2a86d43d,3c46bd68165bb49be66c657de7f09b1cbd130e65934abd29f5aec28e2a86d43d,3c46bd68165bb49be66c657de7f09b1cbd130e65934abd29f5aec28e2a86d43d,Florida,Aquarius. Queen Bey Stan. Happily Taken. carefree black gyal ✨,,1018,1255,2013-08-07,en,en,RT @ZaibatsuNews: Trump weighs ‘half-blind’ trust option for businesses: Politico https://t.co/sfwb9j05tB #p2 #ctl https://t.co/H6NxZAUqsy,2016-12-21 17:35,Twitter Web Client,,,,True,93111391,811620646916530176,absent,absent,0.0,0.0,0.0,0.0,"[p2, ctl]",[http://j.mp/2hrDoWw],[93111391],
